swe_bench_test_id,repo,commit,C,C++,Java,Kotlin,Python,Go,Rust,JavaScript,HTML
django__django-11141,django/django,5d9cf79baf07fc4aed7ad1b06990532a65378155,0,0,0,0,269745,0,0,18989,4600
django__django-11149,django/django,e245046bb6e8b32360aa48b8a41fb7050f0fc730,0,0,0,0,263380,0,0,18748,4600
django__django-11163,django/django,e6588aa4e793b7f56f4cadbfa155b581e0efc59a,0,0,0,0,263450,0,0,18748,4600
django__django-11179,django/django,19fc6376ce67d01ca37a91ef2f55ef769f50513a,0,0,0,0,263579,0,0,18748,4601
django__django-11206,django/django,571ab44e8a8936014c22e7eebe4948d9611fd7ce,0,0,0,0,263619,0,0,18748,4601
django__django-11211,django/django,ba726067604ce5a8ca3919edf653496722b433ab,0,0,0,0,263619,0,0,18748,4601
django__django-11239,django/django,d87bd29c4f8dfcdf3f4a4eb8340e6770a2416fe3,0,0,0,0,263712,0,0,18748,4601
django__django-11265,django/django,21aa2a5e785eef1f47beb1c3760fdd7d8915ae09,0,0,0,0,264322,0,0,18748,4601
django__django-11276,django/django,28d5262fa3315690395f04e3619ed554dbaf725b,0,0,0,0,263868,0,0,18748,4601
django__django-11292,django/django,eb16c7260e573ec513d84cb586d96bdf508f3173,0,0,0,0,263940,0,0,18748,4601
django__django-11299,django/django,6866c91b638de5368c18713fa851bfe56253ea55,0,0,0,0,263955,0,0,18748,4601
django__django-11333,django/django,55b68de643b5c2d5f0a8ea7587ab3b2966021ccc,0,0,0,0,266134,0,0,18752,4601
django__django-11400,django/django,1f8382d34d54061eddc41df6994e20ee38c60907,0,0,0,0,267685,0,0,18878,4600
django__django-11433,django/django,21b1d239125f1228e579b1ce8d94d4d5feadd2a6,0,0,0,0,264803,0,0,18752,4601
django__django-11451,django/django,e065b293878b1e3ea56655aa9d33e87576cd77ff,0,0,0,0,265078,0,0,18752,4601
django__django-11477,django/django,e28671187903e6aca2428374fdd504fca3032aee,0,0,0,0,265826,0,0,18752,4601
django__django-11490,django/django,a7038adbd02c916315b16939b835f021c2ee8880,0,0,0,0,265223,0,0,18752,4601
django__django-11532,django/django,a5308514fb4bc5086c9a16a8a24a945eeebb073c,0,0,0,0,266134,0,0,18752,4601
django__django-11551,django/django,7991111af12056ec9a856f35935d273526338c1f,0,0,0,0,266411,0,0,18752,4601
django__django-11555,django/django,8dd5877f58f84f2b11126afbd0813e24545919ed,0,0,0,0,266493,0,0,18878,4601
django__django-11603,django/django,f618e033acd37d59b536d6e6126e6c5be18037f6,0,0,0,0,267146,0,0,18878,4600
django__django-11728,django/django,05457817647368be4b019314fcc655445a5b4c0c,0,0,0,0,268686,0,0,18989,4600
django__django-11734,django/django,999891bd80b3d02dd916731a7a239e1036174885,0,0,0,0,268690,0,0,18989,4600
django__django-11740,django/django,003bb34b218adb23d1a7e67932a6ba9b3c4dcc81,0,0,0,0,268745,0,0,18989,4600
django__django-11749,django/django,350123f38c2b6217c38d70bfbd924a9ba3df1289,0,0,0,0,269123,0,0,18989,4600
django__django-11790,django/django,b1d6b35e146aea83b171c1b921178bbaae2795ed,0,0,0,0,269091,0,0,18989,4600
django__django-11815,django/django,e02f67ef2d03d48128e7a118bf75f0418e24e8ac,0,0,0,0,269524,0,0,18989,4600
django__django-11820,django/django,c2678e49759e5c4c329bff0eeca2886267005d21,0,0,0,0,269489,0,0,18989,4600
django__django-11848,django/django,f0adf3b9b7a19cdee05368ff0c0c2d087f011180,0,0,0,0,269544,0,0,18989,4600
django__django-11880,django/django,06909fe084f87a65459a83bd69d7cdbe4fce9a7c,0,0,0,0,269715,0,0,18989,4600
django__django-11885,django/django,04ac9b45a34440fa447feb6ae934687aacbfc5f4,0,0,0,0,269725,0,0,18989,4600
django__django-11951,django/django,312049091288dbba2299de8d07ea3e3311ed7238,0,0,0,0,270222,0,0,18989,4600
django__django-11964,django/django,fc2b1cc926e34041953738e58fa6ad3053059b22,0,0,0,0,270452,0,0,18989,4600
django__django-11999,django/django,84633905273fc916e3d17883810d9969c03f73c2,0,0,0,0,270734,0,0,19130,4638
